Topic,"Response",TestVersion,TestId,TotalTime,UserName,"Prompt",PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,DateOfExam
ART,"<p>Personalmente^ si yo podría ver arte^ me gustaría ver el baile o un concerto de música. <br></p><p>Yo ha empezado bailar cuando tenía dos o tres años y tienelo un impacto grande en mi vida. Es una de mi passiónes. El baile es muy dificíl y no había sido la mejora bailarina^ pero puedo apreciarlos. Es una forma de arte muy elegante y bella. Entre mi vida^ ha jugado muchos deportes cómo fútbol^ softbol^ basquetbol^ y voleibol. El baile está el unico deporte que no pare. </p><p>La música^ también tiene un impacto gran en mi vida. A veces^ yo canto en un coro de mi iglesia y escuela^ pero para yo^ es solamente divertido. Entre mi niñez^ mi padre me enseñada los trabajos de Adele y Lady Gaga. Siempre^ yo ha tenido ser ellas. Ellas son los artistas fabulosas. </p><p>La música y el baile es más facíl para entenderá que el arte fisica: los dibujos^ las sculpturas. </p>",B2,3741009,12,L4775163,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I5,,4428,,,,2021-06-11
ANIMALS,"<p>Hola. El pero es bueno mascota. El pero es bonita y divertido. Tu puede caminar a su perro. Una cosa mala acerca de un perro es que portarse mal. Adios</p>",A1,3730311,30,D4761037,"Your pen pal wants to get a new pet and has asked for your suggestions. Write an email making a pet recommendation for your pen pal. Describe in this email why you like the pet you are recommending. Explain positive and negative aspects of having this particular animal as a pet. ",I,1,N4,I-MM,473,,,,2021-06-11
ANIMALS,"<p>Yo creo que deberias a comprar un perro solo que para tener un perro tienes que tener tiempo para caminarlo darle comida^ y para ensenarle adonde ir al baño. Las cosas buenas de tener un perro es que no m]vas estar sola todo el tiempo y vas a tener con quien pasr el tiempo </p>",A1,3730319,14,J4761045,"Your pen pal wants to get a new pet and has asked for your suggestions. Write an email making a pet recommendation for your pen pal. Describe in this email why you like the pet you are recommending. Explain positive and negative aspects of having this particular animal as a pet. ",I,1,I3,I-MF,473,,,,2021-06-11
ANIMALS,"<p>con mi casa mi favorito es reptilia bearded dragon</p>",A1,3730323,24,B4761049,"Your pen pal wants to get a new pet and has asked for your suggestions. Write an email making a pet recommendation for your pen pal. Describe in this email why you like the pet you are recommending. Explain positive and negative aspects of having this particular animal as a pet. ",I,1,N2,I-NE,4529,,,,2021-06-11
COMMUNICATIONS,"<p>Necesitamos comunicar con otras personas para ser feliz. Hay muchas modas diferentes de comunicar y en muchos casos son diferentes para personas con edades diferentes. La forma de comunicar más simple para todos es hablar. Con technología más advancada^ es muy fácil comunicar con personas en todo el mundo. Cuándo mis padres y abuelos eran jóvenes^ no fueron tantos opciónes para comunicar con amigos en otros lugares. Muchos niños comunican con el media social o escriben mensages electrónicos a sus amigos. Los correos electrónicos no son muy populáres con chicos ahora por qué los mensajes que enviamos usualmente son cortos. Muchos adultos usan los teléfonos para comunicar también. Ellos tienen más problemas con la technología por qué no existe por todas sus vidas. Muchos viejos no tienen cellulares por qué no pueden usarlos. Ellos hablan por teléfonos tradicionales. Algunas veces los chicos hablan por teléfono también. Los adultos se usan los correos electrónicos más que los chicos^ muchas veces para los trabajos. Cuándo chicos no tienen sus teléfonos^ es divertido escribir cartas a los amigos. </p><p>Yo fuí al campamente para todo el verano por seis años. El campamente está en el bosque y los chicos no tuvieron sus teléfonos por dos meses. Mi unica forma de comunicarse con amigos de escuela fue escribir cartas. Yo escribí una carta a mi amiga mejor todos los días y ella lo hice el mismo. Recibir cartas es cómo recibir regalos. Yo también escribir cartas a mi familia para decir que yo estaba bién y escuchar las historias de mi casa. Yo he hablado con dos de mis amigas todas las noches por más del año pasado. Ellas no viven muy cerca a mi^ pero gracias a la technología^ podemos hablar todos los días. Mi madre recibe cienes de correos electrónicos cada día. El mayor de estos son realados a su trabajo. Ella no les gusta los correos electrónicos. Mi abuela no puede enviar mensajes por teléfono cellular. A ella no le gusta mucha la technología nueva. Ella llama a nuestra casa y habla por teléfono con mi familia y yo por horas. Es muy interesante observar cómo la edad se afecta los tipos favoritos de comunicar. </p>",B2,3657164,11,B4680771,"In your Spanish&nbsp:class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp: In two well-developed and organized paragraphs^ write an essay in which you:	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp:Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens.	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.",A,1,I5,A-MM,3534,4138,,,2021-06-11
TECHNOLOGY,"<p>Mi familia celebretar navidad. Mi abulea come comida muy bien^ arroz^ pollo^ bistec^ brocoli^ y mas. Es un holiday de famila^ y no usamos telefonos en la mañana. </p>",A2,3697852,14,V4725816,"Your penpal wrote to you because he wants to learn more about your culture. He wants to learn about the different customs and traditions where you are.Write an email to your penpal. Describe an activity related to a national holiday^ a local event^ or a family tradition. Tell your penpal as much as you can about it. ",I,1,I1,I-MM,3354,,,,2021-06-11
COMMUNICATIONS,"<p>La diferencia más obvio en como comunican los adolecentes y los adultos es la formalidad. Cuando un adulto y un estudiante están hablando^ hay un nivel de formalidad que no hay cuando dos adolecentes o dos adultos hablan. En mi experiencia^ los adultos hablan sobre eventos del mundo^ o otras cosas más serias^ mientras adolecentes hablan con más chistes y cosas de las clases. La expressión es differente entre los adultos y los adolecentes. Los adultos se parecen bieneducado y tranquila cuando hablan^ pero los adolecentes hablan más emocionantes. Cuando veo a mis padres hablando con otros adultos^ son casi reservadas en relacción de mis amigos y yo. Cuando mis padres hablan con sus amigos^ son más emocionados^ y hablan sobre cosas que estoy empezando a entender. Cuando mi hermanita habla con sus amigos^ habla más rápido y de cosas diferentes^ usualmente sobre la escuela o algo como así. </p>",B2,3657136,59,N4680743,"In your Spanish&nbsp:class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp: In two well-developed and organized paragraphs^ write an essay in which you:	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp:Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens.	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.",A,1,A,A-MF,4138,,,,2021-06-11
ANIMALS,"<p>mi favorito es st bernards porque la st benard es a largo cutte dog</p>",A1,3731255,18,J4761981,"Your pen pal wants to get a new pet and has asked for your suggestions. Write an email making a pet recommendation for your pen pal. Describe in this email why you like the pet you are recommending. Explain positive and negative aspects of having this particular animal as a pet. ",I,1,Below N1,I-NE,3354,,,,2021-06-11
ANIMALS,"<p>Mí gusta es dog porque es muy dívertído^ helpful^ creativito^ y es grande imaginacion. </p>",A1,3731259,13,E4761985,"Your pen pal wants to get a new pet and has asked for your suggestions. Write an email making a pet recommendation for your pen pal. Describe in this email why you like the pet you are recommending. Explain positive and negative aspects of having this particular animal as a pet. ",I,1,N3,I-SE,4341,,,,2021-06-11
ANIMALS,"<p>conseguir a gato ellos eres susave </p>",A1,3731399,29,K4762125,"Your pen pal wants to get a new pet and has asked for your suggestions. Write an email making a pet recommendation for your pen pal. Describe in this email why you like the pet you are recommending. Explain positive and negative aspects of having this particular animal as a pet. ",I,1,N2,I-NE,4294,,,,2021-06-11
ANIMALS,"<p>¡Hola^ mÍ amigo! MÍ mascota es el doge. Buen mascota^ mÍ gustaria doge. Es eat cheap comer.<br></p>",A1,3731411,23,Z4762137,"Your pen pal wants to get a new pet and has asked for your suggestions. Write an email making a pet recommendation for your pen pal. Describe in this email why you like the pet you are recommending. Explain positive and negative aspects of having this particular animal as a pet. ",I,1,N3,I-NE,4294,,,,2021-06-11
