Topic,"Response",TestVersion,TestId,TotalTime,UserName,"Prompt",PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id
ACTIVITIES,"<p>Buenos días!</p><p>Ahora es verano^ así que ya no tengo escuela. Sin embargo^ ya tengo un horario ocupado.</p><p>Durante ocho horas todos los días de lunes a viernes^ yo trabajo como instructura para una programa de verano. La clase se llama |La Mundo de Magia.| Durante el verano^ muchas padres necesitan un lugar para cuidar a sus hijos cuando ellos van al trabajo. Este compamiento de verano es perfecto para ellos porque tiene muchas actividatdes interesantes para los niños. y ellos nunca se aburren. Cuando yo hice el plan para este campamiento^ yo incluí actividades a afuera y actividades de arte para tener más variedad. Por ejemplo^ ayer^ los niños  jugaron |Quidditch^| un deporte de fantasía de Harry Potter. La semana pasada^ los niños pintaron |huevos de dragón.| </p><p>En mi opinión^ este trabajo es la parte más divertida de mi horario. Las otras partes son aburridos: tengo que preparar para las applicaciones de universitario^ y me da mucho estrés. </p><p>Sin embargo^ ya puedo relajarme los fines de semana. Claramente^ es muy importante que relajar^ porqué estrés no es saludable. Estoy muy fortunado^ porqué Wilmington^ el ciudad que vivía durante los ocho años de mi vida^ tiene muchas actividades divertidas. Por ejemplo^ el sábado pasado^ mi amiga mejor (Annie) y yo fuimos al centro comercial para comprar nueva ropa. Annie compró pantalones cortos^ y yo compré una camiseta roja. ¡Es perfecto para el verano^ porqué hace mucho calor todos los días! Luego^ Annie y yo fuimos al cine para mirar el nuevo película de terror^ |The Conjuring: 3.|<br></p><p>¿Y tú? ¿Qué actividades tienes cuando el verano? ¡Quiero a saber sobre tú!<br></p><p>Gracias^</p><p>Jocelyn</p>",A2,3744591,83,A4781309,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,I4,,3400,,,
ACTIVITIES,"<p>Hola! Qué onda?</p><p>En el verano^ paso tiempo con mi familia y amigos. Cuando estoy con mis amigos^ nosotros vamos a la playa porque los playas en Delaware son muy divertidas y bonitas. Que lindo! Tambien^ nos gusta ver peliculas y ir de las compras. Tambien^ corro y juego deportes con mi amigos en el verano. Me gusta pasar tiempo al fuera con mi familia. Mi padre le encanta pescar^ caminar^ y montar la bicicleta. Mi madre le gusta ir a Longwood Gardens. Es un lugar con muchas flores y arboles y en el verano^ es maravilloso. En lugar de estudiar^ leo libros para divertido en las parques y me gusta hablar con mis hermanas sobre los libros. Cerca de mi casa^ hay un parque donde puedo llevar mi perro y libros. Hay muchas actividades en Delaware! Deberias me vistar! Que haces durante el verano en Espana?</p>",A2,3744594,45,A4781312,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,I4,,4141,,,
ACTIVITIES,"<p>Hola amiga!</p><p>Estoy muy feliz que yo completo el año de escuela! Fue un año muy dificil. Durante el verano^ hacimos mucho! Tengo un trabajo ahora: soy una maestra para los niños. Los bebes solamente tienen un año! Tambien^ jugamos deportes. Juego el hocké con mi equipo. Mis amigos juegen el futbol y lacrosse durante el verano. A veces^ salimos para la playa. Hay unas playas en Delaware^ pero me gusta las playas en South Carolina mas. Durante el verano^ me gusta comer mi cine afuera. Me encanta el aire libre^ y soño a los sonidos del lago cerca de mi casa. Mi hermano le gusta pescar en el lago^ pero mi familia no comemos el pescado. Mi hermano siempre pone la pez en el lago despues pescando. Me gusta viajar durante el verano. La semana pasada^ mi familia fuimos a Maine^ al Parque de Acadia. Fue el lugar mas bonito en todo del mundo. Nosotros escaladamos montañas muy altas y nadamos en la piscina. Comé mucho pescado^ especialmente la sopa de langosta! Tambien^ durante el verano^ comenzado escribir mis applicaciónes para las universidades. No es muy divertido^ pero vale la pena porque estoy emocionada para ir a universidad. </p><p>Que hacer en España durante el verano?</p><p>Adios^</p><p>Jiya</p>",A2,3744597,41,Z4781315,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,I4,,3947,,,
ACTIVITIES,"<p>Hola amigo!</p><p>Donde yo vivo^ estan muchos actividades para mi la otra estudiantes en mi clases. En la verano^ nosotros nadamos en la playa y el piscina^ jugamos mas deportes^ corremos en los parques^ y visitamos museos y zoos. Yo juego tenis^ yo nado en una piscina^ y yo ve una gymnasio. Yo y mis amigos jugamos futbol^ basketball^ y futbol americano. Nosotros jugamos videojuegos y nosotros hablamos muchos. Usualmente yo visita mi tía y mi tío. Yo tambien veo a la Hilton Head Island^ South Carolina. </p><p><br></p><p>Adios^ </p><p>Ankit</p>",A2,3744603,32,Q4781321,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,I1,,4456,,,
ACTIVITIES,"<p>Hola! </p><p>En Estados Unidos^ nosotros tengo mucho actividad. Los actividad es muy divirtido. En actividad es nadar en la piscina. Muchos personas nadar con amigos.  Me gusta escribe en un papel porque creo que es interesante. Aque^ personas leer los libros. Leer los libros es bien para tu mente. Eso hacer intelligente tu. Tambien^ hablar con mis amigos. Tengo que estudiar para mi clases tambien. Hay es mucho examen en escuela. La playa es un lugar popular en el verano. Muchos personas son en la playa. A la playa^ personas nadar en la agua^ comer^ caminar^ y tocar en la arena. Otra actividad es bailar. Es bien para tu salud mente y salud fisica. Hay mucho actividades interesante y divertido aqui.</p><p>De^ Meghan.</p>",A2,3744606,64,Q4781324,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,I3,,3389,,,
ACTIVITIES,"<p>Hola amiga!</p><p>Que tal? El verano en el Delaware^ Estados Unidos es muy calor! Hay es mucho activadades de divertida y activadades para estudiar. Yo voy a once grado^ entonces^ yo tiene mucho trabajo para escuela. Esta incluyen tarea de AP ingles^ trabajo para SAT^ y una projecto para estudiantes en once grado. Despues el trabajo^ el estudiantes es relajarse para con familia y/o tu amigos. Mucho gente voy otros luegos como nuevo ciudads esta no visitar. Otros gente pasa tiempo en el playa. La playas en Delaware es muy popular y atractivo!</p><p>Veranos en Estados Unidos es muy intersante y divertida! Hay muchos cosas y actividades entonces tu no aburrido!!</p>",A2,3744615,36,U4781333,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,N3,N-MF,4428,,,
ACTIVITIES,"<p>¡Hola!</p><p>Me llamo Amrita. Delaware y Pennsylvania tiene muchos actividades para el verano. Por ejemplo^ Delaware tiene muchas playas en el sur de Delaware. Mi playa favorita es Playa de Rehobeth. Este es mi playa favorita porque tiene muchos restaurantes y parques acuatícos. Yo viajo a este playa con mis primos y mis amigos. También^ playa de Rehobeth tiene el restaurante favorito de mi familia^ Nicola's. Nicola's tiene comida de Italía. En el verano mis amigos y yo comen a restuarantes elegantes y tiendas de café. En Pennsylvania^ yo viajo a un centro de comprando. Mi centro de comprando favorito en Pennsylvania es King de Prussia porque tiene tiendas caro y lujoso. Por ejemplo^ tiene Gucci^ Louis Vuitton^ Prada y YSL. King de Prussia también tiene muchas restaurantes pero son más caro que los restaurantes en Delaware. En el verano^ mi lugar favorito es Parque de Hershey. Tiene muchas jugares y actividades divertidas. Cuando yo viajo Parque de Hershey^ mi madre y mi tía compran cuando mi primos jugan y corren en el parque. ¡Este es mi verano perfecto! </p><p>¡Adiós!</p>",A2,3744627,50,T4781345,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,I1,,4520,,,
ACTIVITIES,"<p>Hola amiga </p><p>Yo y mis amigos vivimos en una cuidad chiquita qué se llama Willimantic y esta en el estado de Connecticut. Pero lo que yo mis compañeros hacemos durante el verano es ir a los parques de diversion ^ salir a comprar helado ^ ir a los campos^ ir a nadar. Aveces tenemos que manejar un poco mas lejos para poder ir a los parques de diversion pero la menejada para llegar siempre se ponen divertidos cuando vas con amigas/amigos. </p>",A2,3707177,24,S4737164,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,N3,N-MF,4428,,,
ACTIVITIES,"<p>En el verano juego beisbol y voy a la playa</p>",A2,3719774,9,K4750158,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,N3,N-MF,2278,,,
ACTIVITIES,"<p>Hola mi amigo^<br></p><p>¿Que onda? ¿Tu verano ha sido bien? Yo vivo en la ciudad de Wilmington en los Estados Unidos y disfruto mi verano mucho. En el verano^ yo y mi amigos quien son mi vecinos tambien^ empiezen nuestro verano con mirar los peliculas popular y ir a lugares diferentes como museos y piscinas. Yo veo muchas peliculas y programas de television como Sherlock y la Oficina^ pero este verano yo miro partidos de fútbol y baloncesto. Luego^ jugo futbol^ tennis^ y baloncesto con mis amigos en el parque de mi barrio donde hay lugares para jugar deportes. Ademas^ me encanta leer libros en el verano tambien pero quiero leer libros de Percy Jackson primero. Sin embargo^ no tengo solamente actividades para pasatiempo y tengo tareas tambien que incluir una investigacion cientifica y estudiar para unas examenes importantes. Voy a ir al pais de Iran tambien porque mi familia y unos de mi amigos viven en eso pais y no he visitado mis amigos ahí. Voy a visitar lugares historicas y los centros comerciales mientras estoy en Iran entonces creo que voy a tener un buen tiempo en este verano. ¿Cuales son tu planes y metas para el verano? ¿Vas a salir tu pais y visitar un pais nuevo o vas a quedarse en España? ¿Cuales son tu pasatiempos favoritos en el verano? Dime cada que tu quieres y tengo un fantastico verano.<br></p><p>Gracias^</p><p>Sasan Sedighi</p>",A2,3744636,83,B4781354,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,N4,,2278,,,
ACTIVITIES,"<p style=|text-align: left:|>Querido amigo Muy buensos días o tardes^Estas son las activiades que ago en el verano^Como ir a nadar en el río o ir en bicicleta^jugar Fútbol con otros amigos y los mas importante es convivir con la familia o amistades.</p>",A2,3707135,8,W4737122,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,N3,N-MF,3768,,,
ACTIVITIES,"<p>Hola amigo/a de españa. Durante el verano yo y mis compañeros hacemos muchas actividades.</p><p>Lo que mas nos gusta hacer durante el verano es estar en el agua. Hace mucho calor y estar en la agua fria nos ayuda mucho. Vamos a la playa^ el lago^ parque de agua^ y pizina^ si alguien tiene . Orta actividad que nos gusta hacer es ir a campos y jugar. Jugamos cosas como futbol^ volleyball^ baloncesto^ y mucho mas. Adonde vivo es un poco pequeño y no hay mucho que hacer pero hacemos lo que podemos. Si podemos manejar^ vamos a parques de diversion como six flags y lake compounce. Estos parques son muy divertidos y siempre van muchas personas. Algo mas que hacemos durante el verano es ir a la plaza y ver una pelicula con nuestros amigos. Una cosa mas que hacemos^ es ir a pasear en el carro con la musica alta. </p>",A2,3707159,29,K4737146,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,N3,N-MF,3768,,,
ART,"<p>Hay muchos actividades para tomar ventaja. Por ejemplo^ visita la ciudad de Nueva York^ la manzana grande! En NYC^ puedes ver arte^ sculpturas^ y mas a varios sitios aqui. Los museos son populares con turistas porque tienen arte famoso de artistas viejas. Hay el museo que se llama MOMA^ el museo de arte moderno^ con cuadros y pinturas simples y mas abstratos de otros museos^ como un de mucha historia. No se exactamente los nombres de los museos con arte tradicional^ pero hay MUCHOS defi</p>",B2,3664699,22,D4689078,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I3,I-MF,3768,,,
ART,"<p>tu puedes aser una lection de arte 3D eso se te puede ir bien y eso puede ser bien interesante cuando tu lo ases pero hay muchas diffrentes tipos de arte tu puedes aser diffrentes lecctiones pero uni que me interesa a mi es arte de 3D se escucha bien interesante para mi .</p>",B2,3707165,12,M4737152,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I3,I-MF,4192,,,
ART,"<p>Hay una galeria de arte en Main Street.</p>",B2,3707045,11,H4737032,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,N4,I-SE,3768,473,,
ART,"<p>¡El Sound School hás mucho arte! Yo encanata el arte^ New Haven hás bonita gráfitti mucho. Mucho Personas encanata photographía. El Yale arte Galaría es muy muy bonita. El galaría es muy grande y fragíle. </p>",B2,3707488,25,J4737504,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,N4,I-SE,473,,,
