Topic,"Response",TestVersion,TestId,TotalTime,UserName,"Prompt",PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,TypeOfInstruction,RelationshipToLanguage
ACTIVITIES,"<p>Hola amiga! <br></p><p>Como estas? Que es la clima en España? </p><p>El verano en los Estados Unidos es loca! Un dia^ mi barrio recibe muchas sol- es muy hace calor. Un otra dia^ hace muy fresco. No me gusta la clima mucho por que es mas iregular. Pero durante el noche^ afuerra es la tempurtaura perfecta. Me gusta los noches de verano mucho. Yo hago mucho durante el noche con mis amigas- para hablar o cocinar o cantar afuerra. </p><p>Tengo un trabajo este verano! Yo trabajo por la YMCA - un gimnasio en Estado Unidos - en Kirkwood Highway Delaware. Es poco dificil^ por que yo soy un employee mucho nuevo^ pero pienso el trabajo es muy divertida. Yo hablo con personas en la YMCA y ayudo pacientes. Veo muchas personas interesantes y enerjado- por que es un gimnasio. Tambien^ recibo dinero por mi trabajo por el primero tiempo en mi vida! <br></p><p>Finalmente^ el verano es el tiempo para pasa tiempo con tus amigas. Es exactamente que yo hace. Con mi amiga Meera^ yo visito Nuevo York y la playa en Maryland (Ocean City). Con mi otro amiga Mia^ yo camino con ella en Main Street y veo cinemas con Mia en el teatro. Ahh^ verano es un tiempo para relejarse. Es mucho divertida y espero tu te gustas verano tambien! </p><p>Tengo un buen verano! Felicidades !!!!!!!!</p><p>Rebekah Cheong </p>",A2,3744612,45,L4781330,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,I2,,3400,2278,3543,3444,Traditional classroom,Foreign Language
ACTIVITIES,"<p>tu penpal en spain quira saver la estudante que va hacer en la verca </p>",A2,3747256,13,M4789437,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,N2,N-MM,3947,,,,Other,Unknown
ACTIVITIES,"<p>Holá!</p><p>          En el verano me gústa ir con mis primas que viven cerca de mí casa. Los visito mucho durante el verano^ pero a vecés me voy con mí mamá a trabajar. Mí mamá trabaja en un daycare con mí tía^ y me gusta ir ayudar le. Tambien voy al zoologíco durante el verano a ver muchos animalés. Miro a los eléphantes^ leones^ zebrás^ pescados^ osos^  y delphines. Unos diás^ voy a visitar a mí abúela. Nosotros vamos al las tiendas a buscar ropa^ y pasar el tiempo. Me diviérto mucho con mí abúela. Que te gusta hacer en el verano?</p>",A2,3747352,32,T4789533,"Your penpal in Spain wants to know what students do during the summer where you are.Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible.",N,1,I3,,3400,,,,Other,Unknown
ART,"<p>En nos escuela^ la clase de arte es más importante. Los estudiantes participan en tres clases de arte cada semana. Los paredes en la escuela tienen la arte de los estudiantes talentosos. Yo prefiero pintar^ porque soy buena y es una forma de relaxión. En la puebla^ los paredes de los edificios tienen arte de grafiti muy bonitos. Es de los artistos locales y profesionales. Usan colores brillantes. Hay mucho ver.</p>",B2,3747368,37,K4789549,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I3,I-MF,3543,,,,Other,Unknown
ART,"<p>Articulo #9</p><p>Arte en Misuri^</p><p>La arte en Misuri es no muy interesante^ es no nuevo y no corazon en el arte. Una esculptura aquí o un dibujo allí^ es un pequeño en todo de Misuri. Sin embargo^ son es un museo de arte en St. Louis. Es muy divertido para los niños porque todo de la arte es monta y mas de 100 trabajos de arte son aquí.</p><p>No me gusta arte tipico^ pero los trabajos de Van Goh y Xul Solar son muy interesante a mi. Los colores y no confudo^ es arte con guapo miras. Prefiero porque es muy importante para mi. Un connecion con los artes es muy importante pero con no color o es no guapo^ no me gusta.</p><p>Grascias por su tiempo</p>",B2,3747069,42,U4788897,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can.",I,1,I1,I-MF,3768,3534,,,Traditional classroom,Foreign Language
CLUBS,"<p>No problemo^ es muy facil</p><p>Estimado Principal^</p><p>Primero grascias por su tiempo^ sé que su tiempo es muy importante y perdon para la interrupcion. Yo y un poco estudiantes quieren crear un club de Ingles en la escuela. Es muy importante empezar porque Ingles es un nuevo clase en la escuela y muchos estudiantes son en la clase. Es importante dar una lugar para practican libre el clase normalmente. Es una normal club^ todo la semana practican Ingles con otra estudiantes de otra horas.</p><p>Es muy bien para la escuela^ un neuvo club a crea mas attencion^ y no mal estudiantes porque Ingles recomenda un B+ en Espanol tomar la clase normalmente. Las actividades son muy divertido^ estudia la EEUU y UK con no problema y una vez comer un poco de la comida normal. Es un club de color y divertido.</p><p>Gracias por su tiempo</p><p>Tu nombre</p><p>Bien^ ¿no?<br></p>",B2,3747069,42,U4788897,"Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:		Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why.			Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students.	",A,1,I1,A-NE,3768,3534,,,Traditional classroom,Foreign Language
COMMUNITY_SERVICE,"<p>to espanol club eswta preaprando information de tu post de la club website para tu ermana eschula in peru. tu esduate en peru quera savir la serivso de la project de la estudante que asan </p>",A2,3747256,13,M4789437,"Your Spanish club is preparing information to post on the club’s website for your sister school in Peru. The students in Peru want to know about service projects that students are doing.Write a post for the website describing the volunteer or community service activities that you or your classmates are doing. Describe the activities with lots of details. Give as much information as you can.",I,1,N2,I-SE,3947,,,,Other,Unknown
CLUBS,"<p>Hola^ Sr. Smith^</p><p>¿Cómo estás? <br></p><p>Yo tengo una idea.  Quiero empezar un club de tenis. Los estudiantes están hablando de jugando un deporte nuevo. Tenis es un deporte perfecto!</p><p><br></p><p>Los estudiantes pueden aprendar tenis. Ellos pueden correr y tienen más fuerte también. Y^ es un oportunidad social para los estudiantes reservados. Es muy beneficial.</p><p>Gracias^</p><p>Rosali Schneider</p>",B2,3747368,37,K4789549,"Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:		Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why.			Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students.	",A,1,I3,A-NE,3543,,,,Other,Unknown
COMMUNICATIONS,"<p>Los niños de mi pueblo usan la teléfono para communicarse.</p><p>En história^ las adultos no tienen teléfonos^ pero usan letras de papel. </p><p>Letras formales no son muy populares con los jovenes modernos. Letras bajos de la tele son fácial y popular.</p>",B2,3747368,37,K4789549,"In your Spanish&nbsp:class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp: In two well-developed and organized paragraphs^ write an essay in which you:	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp:Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens.	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.",A,1,I3,A-NE,3543,,,,Other,Unknown
COMMUNICATIONS,"<p>Communicacion tipicalmente de niños y padres son no igualmente. Niños usan media social y mensajes en un muy libre tipo. Padres usan media social sin embargo es viejo y niños no usa tipicalmente porque es no guapo. Las ideas son muy diferente^ padres son muy politico y no divertido^ pero niño usa para |memes| y otra ideas no bien. La idioma es diferente sin embargo es muy igualmente.</p><p>Facebook empeza en la 2000s^ mas niños usan Facebook a la tiempo^ pero con nuevo sociales Tik Tok y Twitter y Instagram^ el nuevo niños usa ellos y la viejo niños o padres usa Facebook. Que resuelta es Facebook es un viejo social y los neuvos crea un diferente generacion de niños con no hablo en persona y todo es enlinea. </p>",B2,3747069,42,U4788897,"In your Spanish&nbsp:class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp: In two well-developed and organized paragraphs^ write an essay in which you:	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp:Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens.	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.",A,1,I1,A-NE,3768,3534,,,Traditional classroom,Foreign Language
