,Topic,Response,TestVersion,TestId,TotalTime,UserName,Prompt,PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,TypeOfInstruction,RelationshipToLanguage,DateOfExam,MachineScore
43,CLUBS,<p>Hola querido director.</p><p>espero se encuentre muy bien. La razon de este email es para informarle que muchos estudiantes han acudido a mi para preguntarme si usted nos permitiria tene un club de robótica. Como presidente de mi clase queria solicitar mas información sobre como formar un club en nuestra es cual y no hay mejor persona que usted para darme esta información. Este club beneficiará a la escuela y sus estudiantes^ ya que si formamos  este club nosotros no solo estaríamos ayudando a nuestros alumnos a mantenerse distraídos en algo que les ayudara en el futuro. Esto tambien podrá beneficiar a la escuela ya que atenderemos a competencias y pondra el nombre de nuestra escuela en lo alto. Si me podría proveer mas información eso sería estupendo.<br></p><p>Tenga un gran dia.</p><p>Att: Alan Carias.</p>,B2,3705457,37,D4734830,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,I5,A-SE,3617,,,,AP,Heritage Language,2021-05-29,2-A-SE
44,CLUBS,<p>Buenas Tardes^</p><p>Yo soy Camila Gordillo^ le escribo este correó porque quiero proponerlé abrir un club deportivo. Este club deportivo consiste que todos los estudiantes puedan practicar su deporte que más les guste. Este club tendría para practicar natación^ basketball^ futbol^ voleyball ^ tenis^ etc.  Este club puede ayudar a que las personas hagan ejercicio que ayudar a mejorar su salud. En estos tiempos desafortunadamente muchos jovenes han dejado de praticar deportes por estar jugando videojuegos. Por eso quiero impulsarlos para que vuelván a tener un cuerpo activo^ con este club ayudaría también a enseñarles a trabajar en equipo y compartir con otras personas. Este club seria todos los días después del colegio para que las personas que estan interesados no les choqué con el horario de clases y no les perjudique con sus notas^ y utilizariamós las instalaciones del colegio para practicar algunos deportes. </p><p>Por favor déjeme saber si esta interesado en abrir este club deportivo. </p><p>Atentamente^</p><p>Camila Gordillo </p>,B2,3705453,79,K4734826,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,I5,A-SE,3282,,,,AP,Heritage Language,2021-05-29,2-A-SE
45,CLUBS,<p>buenas tardes^ melissa....</p><p>Me encantaria ayudarte con eso^ tu sabes que yo siempre he empezado los clubs aqui y tengo experiencia con eso. Pues lo primero que tienes que hacer es escribirle al peincipal^ y explicarle porque quieren empezar un club. Le puedes dar tus razones como por ejemplo^ le haria muy bien a mis companeros^ les ensenaria muchas cosas y incluso les podria ayudar en el futuro. Luego pasas a explicarle que tipo de club te gustaria empezar. Le puedes decir que quieren empezar un club de cocina que tu y tus companeros piensan que va a hacer algo buenos porque aparte de que es divertido^ es informativo y les va a ayudar en el futuro. </p><p>Luego le explicas como ese club va a tener un impacto positivo en la escuela le puede decir^ que muchos jovenes van a tener algo divertido que hacer despues de escuela^ y que en vez de ellos ir a perder su tiempo a hacer cosas que no son productivas muchas chicas van a poder aprender algo y tomarlo en cuenta para el futuro. Luego le explicas que tipo de actividades o projectos van a hacer^ le puedes decir que van a cocinar para la escuela en las actividades grandes que tenga^ o que van a tener una meta a la cual todos tienen que llegar para que miren que el club si esta teniendo resultados. Dile que eso va a afectar positivamente a la escuela ya que van a tener cocineros y no van a tener que comprar mas comida rapida cuando tengan una actividad grande en la escuela. Incluso ese dinero que pagarian en la comida va a ir para ustedes y estarian ayudando una causa buena. Espero el principal te apruebe el club^ me cuentas como te va.<br></p><p>Atentamente^ Darolyn</p><p><br></p>,B2,3705449,38,M4734822,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,A,A-MF,4462,,,,AP,Heritage Language,2021-05-29,1-A-M+
48,CLUBS,<p>Estimado/a Señor/a^ </p><p>Te estoy escribiendo hoy sobre que algunos de nosotros quieremos hacer un club de penpal para los jovenes en países hispanoblates. Lo que el club va hacer es vas a escrbir cartas a differentes estudiantes del los países hispanos. Este club nos va ayudar a mejora nuestro español y también aprender sobre los differentes países hispanoblates. También vamos a poder aprender sobre las culturas de los otros países y sobre qué las diferencias en las vidas de los estudiantes. Además vamos a poder saber sobre las vidas de los jovens y los que es differente. </p><p>Este club va a poder ayudar un monto de estudantes que hablan español y también a los que no hablan español. El club va a tiener un impacto positivó a la escuela porque los estudantes van a tener ese chance de poder concer a differentes personas. El club va tiener a dos personas que van a buscar a las escuelas que estan desponebles a escribir con nosotros. Las lettras van hacer escritos todos por correo electronico y todos pueden a escribir a uña persona. Luego vamos a tiene una llamada de video para conocer a los otros estudantes y poder hablar con ellos. Espero que nos puedes dar la oportunidad de formar este club. </p><p>Antemente^ </p><p>Los estudantes del club </p><p>  </p>,B2,3705445,62,E4734818,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,I4,A-NE,4141,,,,AP,Heritage Language,2021-05-29,1-A-M+
52,CLUBS,<p>Estimada Principal^ </p><p>Primero que todo buenos días. Estoy interesada en empezar un club de libros. Desde el año pasado yo he estado pensando sobre maneras en cómo este club pudiera funcionar. Yo estoy segura en que el club pudiera ayudar a los estudiantes a tener mejor gramatíca. Yo soy fanatica a leer un buen libro. Desde que estoy chiquita mi mamá siempre me a comprado libros y desde ese entonces me han encantado. Hay muchos niños que le gustan leer y este club los ayudarían a enfocarse. </p><p>El club tendría una reunion los jueves en la segunda semana del mes. Los estudiantes leerán un libro juntos y despues hablaran sobre lo que les interesó. Pienso que podríamos llevar comidas pequeñas y disfrutar no solo del libro pero de la amistad. Los libros fueran escohido de la librería publicá. Al final de la reunion los estudiantes podran llenar un formato donde diran lo que aprendieron o lo que mas les gusto. Estos resultados llegarán directo a tí.  Espero que veas todo lo bueno que este club puede hacer. </p><p>Sinceramente^ Karla </p>,B2,3705441,45,G4734814,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,A,A-MF,4154,,,,AP,Heritage Language,2021-05-29,1-A-M+
53,CLUBS,<p>hola! yo quiedo participar en una clase de arte porque la escuela no tienen un clase de artes. este clase puedo ayudar estudiantes estudio la historia de arte. las maestros no nessecitian ayudar en este clase porque es estudiantes hacer. en un clase de artes^ nosotros puedemos participar en mucho competitivos de arte y nosotros estudimos todos formas de artes. </p>,B2,3601404,16,N4618496,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,I1,A-NE,4428,,,,Two-way immersion,Foreign Language,2021-05-29,2-A-SE
55,CLUBS,<p>Querido Sr. Sal^<br></p><p>     Los estudiantes de la clase de 2023 tienen una buena idea de un club que podemos empezar en la escuela. Estamos pensando en empezando un club de amistad y positividad. Este club iluminaria la idea de que es posible ver lo positiva en todo lo malo y negativo. Pasaremos nuestro tiempo pensando en ideas y actividades que podriamos hacer alrededor de la escuela para mejorar las días de todos los estudiantes. Por ejemplo^ podemos escribir notas positivas y dejarlos alrededor de la escuela y las personas que encuentran los más notas ganan un premio para ellos y sus amigos. Este club solo trata de la positividad y llenar los días de todos los estudiantes con algo bueno.</p><p>    Este club beneficiaria a todos porque deja que estudiantes pueden participar en actividades de su escuela y puede ser orgulloso de ir a la escuela. Ya sabemos que todos tienen sus batallas personales en su vida diaria^ este club dejaria que los estudiantes podrian enfocar en algo más positivo por un momento. Este club servia como una pausa o un descanso del estrez de la vida diaria. Yo pienso que si nos dejamos hacer este club una realidad^ vaz a ver un gran cambio en la atmosfera de esta escuela. Muchas gracias por escuchar a nuestra idea^ esperdo de escuchar tus pensamientos.</p><p>Cordialmente^ Solene Hairston</p>,B2,3601396,18,T4618488,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,I5,A-SE,3768,4138.0,,,Two-way immersion,Foreign Language,2021-05-29,2-A-SE
56,CLUBS,<p>Queremos empezar un Club para niñas y niños que no pueden comer facilmente. Quiere que seo un espacio seguro donde todos pueden comer juntos durante el almuerzo para que no tienen que ser miedoso.</p>,B2,3601392,8,Y4618484,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,I3,A-NE,3891,4415.0,,,Two-way immersion,Foreign Language,2021-05-29,3-A-NE
57,CLUBS,<p>Hola^</p><p>Estoy escribiendo esta mensaje porque quería preguntarte si podemos empezar un club en la escuela. Mi idea es empezar un club en donde puedes hablar con amigos y también trabajar en tarea juntos. Todos pueden ayudar con tarea y ayudarte entender como hacer lo en la manera correcta. Yo quiero empezar eso porque aveces estudiantes no quieren preguntar a sus maestros para ayuda entonces con este club^ pueden preguntar sus propios amigos para ayuda y pueden trabamjar juntos. </p><p>Este club podría tener un impacto muy positivo en la escuela porque yo pienso que las personas que van a este club para ayuda^ pienso que vas a ver sus grados y sus calificaciónes en sus examenes subir más alta. Más personas van a tener mejor grados y van a agarrar mejor calificaciónes es sus exámenes. Yo pienso que esre club va a tener un gran impacto positivo en la escuela. Por favor considera este mensaje!</p><p>Gracias^</p><p>Rylie</p>,B2,3601376,17,P4618467,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,I4,A-SE,4566,,,,Two-way immersion,Foreign Language,2021-05-29,2-A-SE
58,CLUBS,<p>Hola^ Director Jones. </p><p>   Soy Lindsey Stelzer. Te escribo hoy porque los estudiantes de tu escuela quieren empezar una club. Queremos iniciar un club que tenga el propósito de mantener y limpiar el planeta. Hablaremos de mejorar el medio ambiente y de cómo proteger las especies y los animales en peligro de extinción. El nombre sería |Los Amantes del Planeta¨. Tendremos casí veinte miembros y la Sra. Willis^ la maestra del ciencia^ que ella quiere acoger nuestro club.</p><p>   Este club ayudará a la escuela y a la tierra. Para ayudar a salvar los bosques a la vida de los océanos^ haremos todo lo que podamos. Al ciudar del mundo^ nuestro club puede limpiar nuestro edificio. Durante el almuerzo^ nuestro club puede caminar y recoger basura y ponerla en los cubos de basura. Nuestra escuela se verá más bonita por este club. Pondremos recordatorios de reducción ^ reutilization y reciclaje. Hablaremos de cosas importantes como el tipo de plástico que se puede reciclar. </p><p>Gracias por tu tiempo^</p><p>Lindsey Stelzer</p>,B2,3541539,74,J4551385,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,A,A-MF,3895,,,,Traditional classroom,Foreign Language,2021-05-29,2-A-SE
