,Topic,Response,TestVersion,TestId,TotalTime,UserName,Prompt,PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,TypeOfInstruction,RelationshipToLanguage,DateOfExam,MachineScore
5,EDUCATION,<p>Para: Compañero de escuela en Madrid </p><p>De: Julio Cesar </p><p>Buenas tardes^ espero que te encuentres de lo mejor^ donde vivo hay diferentes tipos de escuela^ hay escuelas publicas^ y privadas. Las escuelas publicas son escuelas que tienen mucha ayuda y la que queda mas cercana a muchos lugares para disfrutar^ las escuelas privadas se encuentran un poco mas retiradas y son principalmente de paga. Yo asisto a una escuela privada^ me gusta escuela por que no tienen reglas al vestir^ no tenemos que ocupar uniformes.&nbsp;</p><p>Los alumnos que se graduan de la preparatoria varios se van para la universidad^ muchos tambien se toman un año libre ya sea para viajar o para trabajar^ muchos eligen irse a la escuela naval o militar. Durante mis años en la preparatoria siempre he tenido amigos que se graduan^ y muchos de ellos toman el camino de leyes o medicina^ pero casi siempre se toman un año para trabajar y ahorrar dinero. </p><p>Espero que esta iformacion te ayude^ con mucho gusto</p><p>Julio Castillo </p>,B2,3277143,34,Z4261219,The students in your partner school in Madrid want to learn more about the education system in your community.  Write an email of several paragraphs in length that explains the school system where you live. 1. Tell a story about something that happened in your school system. This could be something you or someone you know experienced. 2. Describe other schooling options that are available in your community. 3. Make sure to explain the pros and the cons of the different schooling options in your community. ,A,1,I5,A-MM,4428,,,,Heritage learner,Heritage Language,2021-06-13,2-A-SE
7,ENVIRONMENT,<p>Por el momento no creo poder esa respuesta^ me hubiese gustado experimentar mas cosas durante este año escolar^ pero desafortunadamente todo fue cancelado por el virus que paso en el 2020 y desafortunadamente que continuo durante el año 2021. Por el momento a finales de este año escolar regresamos algunos alumnos a tener clases presenciales^ y creo que es posible que el siguiente año todo regresara a la normalidad^ con todos los estudiantes en un salon de clases. Por el momento creo que la escuela hizo todo lo que pudo para mantener a todos los estudiantes a salvo^ pero para un futuro mejor creo que mas tegologia deberia ser incorporada. </p><p><br></p>,B2,3277143,34,Z4261219,Your pen pal in Spain has written an email to you. In her email^ she described some of the changes her school is making to be more environmentally friendly. She wants to know what your school does to be green.   Write an email^ several paragraphs in length^ in which you describe programs or initiatives in your school that promote taking care of our planet. Be sure to describe in detail the following:  1. What your school and student groups have done in the past.  2. What you and your school are currently doing.  3. What you think you and your school could do better in the future.    ,A,1,I5,A-SE,4428,,,,Heritage learner,Heritage Language,2021-06-13,2-A-SE
8,LANGUAGE ARTS,<p>Me gustaria habalrte sobre esta serie que puedes encontrar en Netflix que se llama |Gambito de Dama| esta es una de las mejores series que pude haber visto^ es una historia impresionante de ver como muchos padres prefieren dejar a sus hijos en adopción y dejarlos en una casa hogar^ pero tambien es muy impresionante ver como estos niños pueden tener inteligencia extrema^ la actriz principal muestra excelentes avilidades a jugar ajedrez conviritendoce en una de las personas más menores al ganar demaciados premios a base de este juego de mesa. La actriz principal es muy interesante por que su personaje se basa en una persona que es adicta a las drogas^ pero estas drogas son las que la ayudan a have rjugadas perfecas visualizandolo en el techo de el lugar que ella este. Me encanto esta serie solo por la historia que cuenta y tambien en como termina. <br></p>,B2,3277143,34,Z4261219,An international student who is coming to your school would like to know what movies and tv shows students in your school like.  You’ve been asked to post a blog on your school’s website about a movie or television show you recently saw. Make sure your blog post has several paragraphs in which you:   1. Summarize the plot. Make sure you give enough detail that the student will be able to decide if he/she wants to watch the movie or show.  2. Describe one of the characters in detail. What makes that person an interesting character?  3. Explain what you liked about the movie/ show and what you think could be better. Help the international student decide if this movie/show is worth seeing or not.    ,A,1,I5,A-MM,4428,,,,Heritage learner,Heritage Language,2021-06-13,2-A-SE
13,CLUBS,<p>Saludos Principal Gomez^<br></p><p>Como estas? </p><p>Te estoy escribiendo para pider permiso para empezar un organacion nuevas en escuela. La organacion que quiero empezar deber hacer de futbol porque no tenemos ese deporte en escuela.  Ya yo pregunte a otros estudiantes y dicieron que tambien quieren un organacion de futbol. Los estudiantes de este escuela quieren jugar futbol despues de escuela y yo quiero ser la persona que emperzas el organacion aqui.</p><p>Podemos tener juegos cada semana para los padres y otro estudiantes que quieren ver. Piensalo! Si tenemos juegos cada semenar^ podemos hacer dinero para la escuela que usted puede usar. Por favor pienses en este mensaje.</p><p>Gracias por tu tiempo. Ten un buen dia.</p><p><br></p>,B2,3743849,32,W4779695,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,I5,A-SE,3947,,,,Heritage learner,Heritage Language,2021-06-13,2-A-SE
14,CLUBS,<p>Buenos días Director de la esuela^ </p><p>                 La escuela ofrece diferentes clubes que se adaptan a los intereses de los estudiantes. Pero me ha llamado la atención que no hay un tipo de club dedicado a ayudando el medio ambiente. Muchas estudiantes quieren salvar el medio ambiente y hacerle mas saludable. Ellos se dieron cuenta que no habia un club como ese y entonces no pudieron concocer otros estudiantes que también quieren ayudar el medio ambiente en su comunidad. Por eso debemos poner en marcha un club medioambiental para que los estudiantes pueden ayudar su comunidad y educar a los demas de las problemas que tiene la Tierra .</p><p>                 Este club no sólo tendría un impacto positivo en la escuela sino también en la puebla. Habría todo de actividades medioambientales que los miembros del club habrían como crear un jardín local. Este jardín produciría frutas y verduras para la escuela y puebla que serían mejores que las de la tienda. Ademas el club tendría días para limpiar basura alrededor de la puebla. Esto haría que la puebla fuera más limpia y enseñaría a los estudiantes a tirar a su basura fuera. Los miembros también promoverían mantener el medio ambiente seguro y conseguir que otros estudiantes sean activos en su objecto de mantener el medio ambiente</p><p>                 Gracias ^</p><p>                                un estudiante que quiere cambio</p><p><br></p>,B2,3737535,8701,L4770098,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,I5,A-SE,4141,,,,Traditional classroom,Foreign Language,2021-06-13,1-A-M+
15,CLUBS,<p>Querida Profe^</p><p>Yo me llamo Sara Kaiser. Yo con mis amigas nos gustamos comenzar un club. Nosotros gustamos comenzar un club de nadar. Todos los estudiantes no estan nadar. Un Club de Nadar es un bueno opurtunidad de los estudiantes practican el nadar. El Club de Nadar es a las cinco y media en los Lunes^ Martes^ y Sabado. El Club de Nadar es antes de desayunar y despues de practicar deportes. El tiempo es perfecto! Nosotros tengamos comida. Tenemos los |cheese-itz|^ |goldfish|^  y muchas frutas y venduras. Yo tenido muchas manzanas y otros frutas. </p><p>El club estado mucho divertido. Nosotros tenemos mucho divertido antes y despues de nadar. El club es en el YMCA^ cerca de la escuela. Los estudiantes caminando despues de el practicar deportes.  Es necesita de los estudianted tiene un traje de baño y goggles. Participantes no estan pagar para el club. Yo y mi amiga Douglas estaba  los directors. Yo vea los chicas y Douglas vea los chicos. Nosotros usamos los |floaties| y los |life jackets| para de comenzar los actividades. Donde los estudiantes nadan sin los |floaties| y |life jackets|^ ellos nadan en el |deep end|. Es muy importante que ellos nadan sin los |floaties| en el |deep end|. Con el practicar de nadar los estudiantes estaban nadar en el vacacion. Ellos que nadaba en la playa con tú familia. Es muy importantes para Douglas y yo comenzamos el club. <br></p><p>Adios^</p><p>Sara</p>,B2,3704983,19,A4734311,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,I4,A-SE,3400,,,,Traditional classroom,Foreign Language,2021-06-13,1-A-M+
16,CLUBS,<p>Asunto: Formar Club</p><p>Hola amiga^ si quieres crear una club nueva deba escribir un correo electronica explicando el club y que vas a hacer. </p><p><br></p><p>Es importante que su directora sabe como crearia un impacto positivo para la escuela.   </p><p>Sinceramente Kyle</p>,B2,3664645,6,Y4689022,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ,A,1,I1,A-NE,4141,,,,Traditional classroom,Unknown,2021-06-13,3-A-NE
17,COMMUNICATIONS,<p>Adultos comunicar en persona^ pero tambien usan sus moviles. Los adolescentes usan la red social. </p><p><br></p>,B2,3664645,6,Y4689022,In your Spanish&nbsp;class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp; In two well-developed and organized paragraphs^ write an essay in which you:   	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp;Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens. 	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.  ,A,1,I1,A-NE,4141,,,,Traditional classroom,Unknown,2021-06-13,3-A-NE
18,COMMUNICATIONS,<p>Hay muchas diferencias entre cómo se comunican los adultos y los niños. La mayoría de las adultas prefieren hablar en persona. Pero la mayoría de los niños prefieren hablar por telefono. Muchos de mis amigas habla solo por telefono. Por ejemplo^ a mi hermana le gusta enviarme mensajes de texto cuando solo mide 10 pies de distancia. Pero mis padres caminaran por la casa para hablar con mi y mi hermana. Mis amigas tambien so asi. Ellas mandan mensajes de texto todo es tus telefones. En general^ yo prefiero mucho comunicar en persona en lugar de por el telefono. </p>,B2,3704983,19,A4734311,In your Spanish&nbsp;class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp; In two well-developed and organized paragraphs^ write an essay in which you:   	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp;Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens. 	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.  ,A,1,I4,A-SE,3400,,,,Traditional classroom,Foreign Language,2021-06-13,2-A-SE
19,COMMUNICATIONS,<p>         Los adultos y adolescentes se comunican de forma muy diferente en estos días. Los adolescentes hablan principalmente a través de mensajes de texto o en las redes sociales. Mientras los adultos hablan entre sí en persona o por teléfono. La diferencia en las formas de cominicación afecta a la forma en que se interpretan sus mensajes. Es difícil entender emociones a través de mensajes de texto para adultos ya que hablan por teléfono con más frecuencia. Los adultos tampoco saben comó expresarse a través de mensajes de texto y de transmitir su punto de vista. Los adolescentes no failitan a los adultos porque no hablan por teléfono porque creen que es más fácil escribir. Esto provoca muchas faltas de comunicación cuando tanto los adultos como los adolescentes tratan de hablar entre ellos.</p><p>          Un ejemplo de esta falta de comunicación que he identificado es cuando mis padres accidentalmente dejaron el botón de la mayúscula. Este botón hacía que todas las letras se escribieran en mayúsculas. Para los adolescentes las mayúsculas significan que la persona te está gritando. Pensé que mis padres estaban enfadados conmigo pero resulta que acababan de dejar el botón en el accidente. Aprendí que había una barrera de comunicación para adolescentes y adultos cuando esto occurió.</p><p><br></p>,B2,3737535,8701,L4770098,In your Spanish&nbsp;class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp; In two well-developed and organized paragraphs^ write an essay in which you:   	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp;Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens. 	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.  ,A,1,I5,A-MM,4141,,,,Traditional classroom,Foreign Language,2021-06-13,1-A-M+
20,COMMUNICATIONS,,B2,3743849,32,W4779695,In your Spanish&nbsp;class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp; In two well-developed and organized paragraphs^ write an essay in which you:   	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp;Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens. 	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.  ,A,1,I5,A-NE,3947,,,,Heritage learner,Heritage Language,2021-06-13,3-A-NE
29,FAMOUS PERSON,<p>Saludos Romeo Santos!</p><p>Como estas?</p><p>Te estoy escribiendo para piderte un favor. Quiero invitarte a mi escuela. Pero nomas vente si usted quieres venir y si tienes tiempo. Los estudiantes aqui te saben y gustan tu musica. Cada mez tenemos una fiesta en la cafeteria de la escuela y bailamos escuchando a tu musica.</p><p>Primeramente^ cuando lleges quiero ensenarte mi escuela y todos los muchachos que estudian aqui. Despues de eso^ te voy a ensenar la cafeteria porque es alli que usted vas a cantar para todo los estudiantes y maestras. Si tu quiere^ tambien puedes hablar con los estudiantes y dicir aun palabras.</p><p>Gracias para leyer mi mensaje y te espero aqui.</p><p>Sincerely^ <br>Juan Disla</p>,B2,3743849,32,W4779695,Your Spanish teacher has given you an assignment. You must write a letter to a famous Spanish-speaking person that you find interesting and invite them to speak at your school.  Think of a famous Spanish-speaking person that you find interesting. Write a letter to them using&nbsp;an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	Explain why you are inviting this person to come to your school to present to the students and teachers. 	Describe what the person will do when they visit your town and school. Describe with lots of detail^ from beginning to end^ what the person will do during their visit.  ,A,1,I5,A-MM,3947,,,,Heritage learner,Heritage Language,2021-06-13,2-A-SE
30,FAMOUS PERSON,<p>Hola Ricky Matin^</p><p>¿Como esta? Quiero a preguntarle si puedes ir a mi escuela para hablar con los estudiantes y maestros sobre la música latino. Vamos hacer un día dedicado a los país hispanohablante y tambíen a la cultura. Puedes hablar sobre los diferentes tipos de música y hablar sobre la música de usted y porque la música le hace a sentir. Usted es un buen persona para venir porque sabe mucho sobre la música latino.<br></p><p>Si quiere venir vamos a planar que usted va a hacer. Primero va a ir al escuela y necesitamos a esconder usted porque va hacer un sorpresa para los estudiantes y maestros. Luego cuando estas en la escuela va a ir al gimnasio para que puedes hablar con todos. Despues los estudiantes vana venir para verte y cuando termina hablar con ellos puede tomar fotos con usted o hablar con usted.</p><p>¡Escribe pronto!</p>,B2,3737535,8701,L4770098,Your Spanish teacher has given you an assignment. You must write a letter to a famous Spanish-speaking person that you find interesting and invite them to speak at your school.  Think of a famous Spanish-speaking person that you find interesting. Write a letter to them using&nbsp;an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	Explain why you are inviting this person to come to your school to present to the students and teachers. 	Describe what the person will do when they visit your town and school. Describe with lots of detail^ from beginning to end^ what the person will do during their visit.  ,A,1,I5,A-NE,4141,,,,Traditional classroom,Foreign Language,2021-06-13,2-A-SE
31,FAMOUS PERSON,<p>Querida Jennifer Lopez^ </p><p>Yo estoy invitando a mi escuala. Yo soy un grande fanatico para tu. Eres un cantante muy conocida y todos en mi escuela les gusta tu música. Quiero que vengas a hablar con mi escuela porque eres muy popular en esta area. Yo vivo en New Canaan^ Connecticut y yo attendar a la escuela secundaria New Canaan. Hay de 1000 personas en mi escula y realmente todos los personas gustan que visitar. </p><p><br></p><p>Cuando tu visitas primero vendras a mi casa. Despues de mi casa nosotros iremos a mi escuela para que puedes cantar. Despues de tu preformas^ tu y yo iremos a almorzar en el centro de New Canaan. Mi restaurante favorite es Locali^ ellos tienen muy buena pizza. Antes de almorzar^ nostoras iremos de compras en el centro de New Canaan. </p><p><br></p><p>Gracias^ </p><p>Sara Kaiser<br></p><p>New Canaan^ Connecticut </p>,B2,3704983,19,A4734311,Your Spanish teacher has given you an assignment. You must write a letter to a famous Spanish-speaking person that you find interesting and invite them to speak at your school.  Think of a famous Spanish-speaking person that you find interesting. Write a letter to them using&nbsp;an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	Explain why you are inviting this person to come to your school to present to the students and teachers. 	Describe what the person will do when they visit your town and school. Describe with lots of detail^ from beginning to end^ what the person will do during their visit.  ,A,1,I4,A-SE,3400,,,,Traditional classroom,Foreign Language,2021-06-13,2-A-SE
32,FAMOUS PERSON,<p>Hola Daddy Yankee</p><p>Debes ir a nuestra escuela porque los estudiantes aman sus canciones!</p>,B2,3664645,6,Y4689022,Your Spanish teacher has given you an assignment. You must write a letter to a famous Spanish-speaking person that you find interesting and invite them to speak at your school.  Think of a famous Spanish-speaking person that you find interesting. Write a letter to them using&nbsp;an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	Explain why you are inviting this person to come to your school to present to the students and teachers. 	Describe what the person will do when they visit your town and school. Describe with lots of detail^ from beginning to end^ what the person will do during their visit.  ,A,1,I1,A-NE,4141,,,,Traditional classroom,Unknown,2021-06-13,3-A-NE
62,EDUCATION,<p>En Connecticut^ estado donde resido en Estados Unidos^ existen varias opciones de estudios. Entre ellas están la educación pública y privada. La educación pública ofrece varias alternativas tales como: clases presenciales (escuelas públicas)^ educación desde el hogar^ escuelas técnicas entre otras. Además de la educación pública^ están las escuelas privadas. Éstas se diferencian en que las escuelas públicas son pagadas por el gobierno y en las escuelas privadas el costo de la educación es responsabilidad de los padres o por medio de becas y/o ayudas financieras. En mi comunidad o estado^ los padres tienen la opción de escoger la educación primaria y secundaria de sus hijos. Las ventajas de tener diferentes opciones educativas es la diversidad de alternativas para todo tipo de estudiantes. Además^ ayuda a que los estudiantes tengan la oportunidad de tener una educación con compañeros de diferentes razas y culturas. También los estudiantes pueden tener una educación de acuerdo a sus necesidades^ intereses^ y presupuesto. En cuanto a las desventajas^ están la desigualdad desde el punto de vista económico y social entre muchas otras. </p><p>Cuando los estudiantes terminan la escuela secundaria y se gradúan^ toman su propia decisión en cuanto a su futuro. Algunos deciden estudiar una profesión en la universidad inmediatamente. Algunos hacen una pausa en los estudios y luego se van a estudiar una profesión. Otros^ simplemente deciden no estudiar y empiezan a trabajar. Los estudiantes que deciden tener una carrera universitaria eligen la universidad^ colegios comunitarios^ o técnicos que mejor les convenga de acuerdo a la profesión que elijan^ la posisión economica^ y la facilidad de estudiar ya sea cerca o lejos de su familia. Muchos de los estudiantes deciden estudiar y trabajar al mismo tiempo. </p>,B2,3732739,38,V4763654,The students in your partner school in Madrid want to learn more about students and education in your community.  In two well-developed^ organized paragraphs^ write an email in which you address the following:   	Describe the different types of schools and education options that are available in your community. Explain the pros and the cons of the different schooling options where you live. 	Explain what students typically will do after they finish high school. Describe in detail the different paths students^ or someone you know^ will take after they graduate. Include as much information as possible.  ,A,1,I4,A-MM,3768,,,,Traditional classroom,Heritage Language,2021-06-13,1-A-M+
63,EDUCATION,<p><span style=|font-size: 1em;|>  En mi comunidad hay muchos tipos de escuelas y opciones educativas. Una opci</span><span style=|font-size: 1em;|>ón es la educaci</span><span style=|font-size: 1em;|>ó</span><span style=|font-size: 1em;|>n en casa. La educacion en casa es buena para las personas que </span><span style=|font-size: 1em;|>necesitan atenci</span><span style=|font-size: 1em;|>ón personalizada y no tienen problemas para estar solas. La educacion en casa no siempre es buena porque es m</span><span style=|font-size: 1em;|>ás dificil hacer amigos y puede cer muy solitario. Otro tipo de educacion es la escuela publica. Ir a la escuela publica es una gran manera de hacer amigos y es gratis para todo los estudiantes. Puede que no sea para todos poque la calidad no es como  la de una escuela privada. Las escuelas privadas son otro opci</span><span style=|font-size: 1em;|>ón y tienen grandes oportunidades para los estudiantes. Mucha gente no va a las escuelas privadas por los precios^ que son muy caros.</span></p><p style=|text-align: left;|>  Después de la escuela secundaria la gente tiene muchas opciones. La opción más común que todo el mundo conoce el ir a la universidad. Puedes ir a la universidad para obtener un título en cualquier campo que te guste. Algunas carreras son enfermería^ médicos^ abogados^ ingenieros y muchas más. Otro opción es la escuela de oficios^ donde puedes aprender a realizar una habilidad. Allí puedes aprender a ser soldador^ electricista^ fontanero y otras cosas por el estilo. Después se la escuela secondaoa también puedes ir directamente a trabajar y ganar dinero.</p>,B2,3743301,23,D4778769,The students in your partner school in Madrid want to learn more about students and education in your community.  In two well-developed^ organized paragraphs^ write an email in which you address the following:   	Describe the different types of schools and education options that are available in your community. Explain the pros and the cons of the different schooling options where you live. 	Explain what students typically will do after they finish high school. Describe in detail the different paths students^ or someone you know^ will take after they graduate. Include as much information as possible.  ,A,1,I5,A-SE,3768,,,,Traditional classroom,Foreign Language,2021-06-13,1-A-M+
