Topic,"Response",TestVersion,TestId,TotalTime,UserName,"Prompt",PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,TypeOfInstruction,RelationshipToLanguage
ART,"<p>En mi esquela Clear Lake HIghschool^ arte puede ser visto facilmente. Atras de la esquela se puede encontrar una statua grande de un halcón hecho de metales. Tambien en la cafetería^ en las paredes hay dibujos del espacio y de el planeta tierra. En mi ciudad^ Houston^ hay arte de todo tipo. Desde grafiti ilegal en las paredes^ a arte en museos que tiene valor de miles y miles de dollares. A mi personal mente^ me gusta el arte moderno y el arte que tiene un mensaje. A mi me gusta ver un pedaso de arte y poder leér una historia^ y emocíones. </p>",B2,3747526,37,A4790818,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I4,,3389,,,,Traditional classroom,Heritage Language
ART,"<p>Hola Nuevos Estudiantes!</p><p>Hoy les voy a contarde los mejores lugares para ver arte en tu nueva escuela secundaria^ Clear Falls. Si entras en el lado de artes^ donde lee la entrada |Auditorium|^ solo tienes que entrar aí y seguir rectro. Cuando llegas donde puedes escojer entre el corredor donde llega a la cafeteria si suiges recto^ da le vuelta a la derecha. Aí vas a encontrar un corredor de dos niveles. Si suiges en el de abajo^ vas a pasar las clases de arte y ver el arte! A mi me gusta ver los de pintura. Yo se que es mas dificíl para pintar^ y toma mas tiempo. ¡Y todavia se mira asi de bueno! SI tienes más preguntas^ yo le reccomendo que le pregunats a una de las maestras en las clases donde esta el arte. </p>",B2,3747546,28,C4790838,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I4,,3389,,,,Traditional classroom,Heritage Language
ART,"<p>Mi localidad es pequeña por lo que los museos de arte y cultura no son muchos o de gran tamaño. La realidad es que si en mi comunidad se quiere disrutar del buen arte se tiene que asistir a convenciones de arte que ofrecen algunas escuelas de arte que hay en mi ciudad como Cáritas o La Escuela Municipal de Arte^ estas convenciones ofrecen todo tipo de arte en exposición desde pinturas y obras de teatro hasta esculturas y piezas musicales. En mi caso personal yo prefiero la música porque es una manera muy común de transmitir pensamientos^ sentimientos y emociones a través de armonías que son más fáciles de procesar para la audiencia y generan un placer al escucharlas.</p>",B2,3747554,42,K4790846,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I5,,3389,,,,Traditional classroom,Heritage Language
ART,"<p>¡Hola estudiante de Madrid!<br></p><p>Bienvenido a Houston. En esta ciudad^ hay muchas oportunidades para ver arte. Por ejemplo^ hay el museo de arte en el centro de Houston^ y eso museo tiene muchos tipos diferentes de arte^ como pinturas^ estatuas^ y arte electronico y interactiva. El museo es un lugar muy interesante visitar^ y debes de ir.</p><p>También puedes ver arte en las paredes de la ciudad. Solamente necesitas manejar por las calles de Houston y puedes ver mucha arte bella.</p><p>Mi tipo favorito de arte es fotografía. Me gusta esto medio de arte porque es muy bonito y es divertido crearlo.</p><p>¡Que disfrutes la ciudad de Houston y el arte que puedes ver aquí!<br></p>",B2,3747574,43,B4790866,"Your Spanish teacher asked you to write a post for your class blog about local art for exchange students coming to your town from Madrid.  Write a blog entry in which you explain where you can see art in your town or school and what kind of art you prefer and why. Give as much information as you can. ",I,1,I4,,3389,,,,Traditional classroom,Heritage Language
CELEBRATIONS,"<p>¡Hola Marco!</p><p>Espero que esta carta te encuentra bien. En tu ultÍma carta me preguntaste cual era mi celebracion favorita y aqui esta tu respuesta. Navida es mi favorita celebracion porque todos los años lo celebro con mi familia en Mexico. ¡Cada ves que los visito^ nos divertimos mucho! Nos dormimos hasta las cuatro de la mañana y my quedo hablando con mis primos. Mi prima Mariana es mi misma edad entonces cuando visito Mexico para la Navidad^ estamos pegados juntos como dos piesas de cinta de dos lados. Y despues cuando llego de Mexico^ todas veses encuentro regalos debajo del arbol que me estan regando que las abre. Santa todas veses sabe que quiero. Tengo 13 años y se que Santa no es réal pero mi hermano todavia hace el chiste. Nada hace una celebracion mas importante que familia y diversion.<br></p><p>Espero que te la pases bien.<br></p>",B1,3747566,58,H4790858,"Your penpal from Buenos Aires wants to learn more about your culture. He asked you to tell him all about your favorite holiday or event and how you celebrate it.  Write a letter to your penpal in which you describe your favorite holiday or event. Include lots of information about what you do on that day or during the event and why you enjoy it.  ",I,1,A,,4294,,,,Traditional classroom,Heritage Language
CELEBRATIONS,"<p>mi evento favorito es mi cumpleaños porque me celebran y me dan regalos y puedo ver mis amigos por todo el dia.</p>",B1,3747570,15,N4790862,"Your penpal from Buenos Aires wants to learn more about your culture. He asked you to tell him all about your favorite holiday or event and how you celebrate it.  Write a letter to your penpal in which you describe your favorite holiday or event. Include lots of information about what you do on that day or during the event and why you enjoy it.  ",I,1,I3,I-MF,473,,,,Traditional classroom,Heritage Language
CELEBRATIONS,"<p>Mi penpal-</p><p>Mi favorito holiday es Thanksgiving. Thanksgiving es una holiday donde ustedes es gratidad. En Thanksgiving^ ustedes comer y jugar american futbal. Thanksgiving es in Novembre. Ustedes celebramos en la dia y no en la noche. Yo gusta Thanksgiving porque Thanksgiving es mucho divertad. Tambien^ yo ve mi familia en Thanksgiving. </p>",B1,3749290,56,A4797495,"Your penpal from Buenos Aires wants to learn more about your culture. He asked you to tell him all about your favorite holiday or event and how you celebrate it.  Write a letter to your penpal in which you describe your favorite holiday or event. Include lots of information about what you do on that day or during the event and why you enjoy it.  ",I,1,I4,,4294,,,,Traditional classroom,Foreign Language
CELEBRATIONS,"<p>Hola!</p><p>Me encanta los celebraciones^ especialmente Navidad! Navidad es mi favorito porque hay mucho que hacer. Siempre comemos mucha comida rica como pabo^ ensalada^ choclo de crema^ y no olvidas las tortas! Siempre hago diferentes tortas con mi abuelita^ y mi hermana. Todos dicen que son muy muy ricas. En la mañana de navidad^ nos levantamos muy temprano para abrir los regalos. Mi abuelita viene en un avion a mi casa! Ella vive en Ecuador^ y le encanta venir a visitar. Para la cenna^ nos vamos a la casa de mi Tia Vero. donde la cocina es muy grande ara que todo la familia entra. </p><p>Deseo verte pronto^</p><p>Camilla</p>",B1,3747558,46,B4790850,"Your penpal from Buenos Aires wants to learn more about your culture. He asked you to tell him all about your favorite holiday or event and how you celebrate it.  Write a letter to your penpal in which you describe your favorite holiday or event. Include lots of information about what you do on that day or during the event and why you enjoy it.  ",I,1,I4,,3947,,,,Traditional classroom,Heritage Language
CELEBRATIONS,"<p>Hola amigo^ yo tengo muchas tradiciones incluso navidad^dia de pascua^ y muchos mas. Primero cuando mi familia celebran navidad usamos un arbol de navidad y lo decoramos en ornamentos. Tambien en nuestro religon sabemos que nuestro Jesus nacio para salvarnos de nuestros lagrimas. Otro tradicon que yo celebro se la dia de pascua este dia es creca de abril y mayo. Tambien en nuestro religon dice que en este dia es que nuestro Jesus murio para nosotros.</p>",B1,3747550,52,W4790842,"Your penpal from Buenos Aires wants to learn more about your culture. He asked you to tell him all about your favorite holiday or event and how you celebrate it.  Write a letter to your penpal in which you describe your favorite holiday or event. Include lots of information about what you do on that day or during the event and why you enjoy it.  ",I,1,I4,,3389,,,,Traditional classroom,Heritage Language
CELEBRATIONS,"<p>Mi favorito es navidad porque siempre ando de partie con la familia oh voy a paciar en navidad depende siempre asemos algo differente todos los años y tambien ponemos el arbol de navidad y ponemos casiones cuando estamos poniendo el arbol de navidad. Cuando vamos con mis primos agramos regalos pero siempre los esperamos para abrir los regalos asta el siguete dia y cuando los despertamos abrimos nuestros regalos pero algunas veces no podemos esperar y abrimos los regalos. Algunas veces me quedo a dormir con mi prima los quedamos despierta toda la noche y es muy divertido. Mi favorita cosa es que simepre vamos a paciar cuando es navidad poreso me gusta mucho. </p>",B1,3747522,75,X4790814,"Your penpal from Buenos Aires wants to learn more about your culture. He asked you to tell him all about your favorite holiday or event and how you celebrate it.  Write a letter to your penpal in which you describe your favorite holiday or event. Include lots of information about what you do on that day or during the event and why you enjoy it.  ",I,1,I5,,4281,,,,Traditional classroom,Heritage Language
ANIMALS,"<p>creo que compras un pero porque peros son muy amable y enegetico.</p>",A1,3749900,12,E4800219,"Your pen pal wants to get a new pet and has asked for your suggestions.   Write an email making a pet recommendation for your pen pal. Describe in this email why you like the pet you are recommending. Explain positive and negative aspects of having this particular animal as a pet.  ",I,1,I1,I-MM,4141,,,,Traditional Classroom,Unknown
ANIMALS,"<p>Tu get un gato^ es muy bonita y calm. Me gusta gatos.</p>",A1,3749936,19,J4800255,"Your pen pal wants to get a new pet and has asked for your suggestions.   Write an email making a pet recommendation for your pen pal. Describe in this email why you like the pet you are recommending. Explain positive and negative aspects of having this particular animal as a pet.  ",I,1,N3,I-NE,3947,,,,Traditional Classroom,Unknown
CELEBRATIONS,"<p>Me gusta mas de todos los dias^ Navidad^ por que es el dia que celebramos cuando Jesus nací. La dia antes estamos listando por Navidad. Tenemos mucho decoraciones que son rojo y verde^ compramos regalos por todos^ y en los cines tienen muchas peliculas de Navidad. Cuando es la dia de Navidad hacemos mucho primero nosotros vamos a la iglesia para misa^ despues vamos a la casa y comemos un largo desayuno^ tersero celebramos con la familia de nostros^ despues abremos los regalos y en final comemos un grande cena con la familia de nosotros.</p>",B1,3747538,38,C4790830,"Your penpal from Buenos Aires wants to learn more about your culture. He asked you to tell him all about your favorite holiday or event and how you celebrate it.  Write a letter to your penpal in which you describe your favorite holiday or event. Include lots of information about what you do on that day or during the event and why you enjoy it.  ",I,1,I4,,3947,3400,,,Traditional classroom,Heritage Language
CLUBS,"<p>Querido Director Drake^</p><p>A mis compañeros y a mi les gustaría empezar un club de ping pong. Emos pensade en esto por unos meses y creémos que seria muy beneficial para la esquela. El clúb ayudaría a las personas que no tienen muchos amigos a conocer gente y embelucrarse en una actividad divertida. El club empezara un centimiento de comunidad en la esquela y va a traér los estudiantes mas cerca! No solo eso^ tambien puede secar talento escondido en unos de los estudiantes y podemos ser mus exitoses en un futuro. El club ayudaria a los niños sacar su estres^ y relajarse y sacar sus mentes de la anxiedad de la esquela.<br></p><p>CInceramente^ Alberto Castellanos.</p>",B2,3747526,37,A4790818,"Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ",A,1,I4,A-SE,3389,,,,Traditional classroom,Heritage Language
CLUBS,"<p>Hola Amiga! </p><p>Hoy te voy a escribir un modelo para que puedes tener una idea en como empezar un club. </p><p>Buenas Tardes^ </p><p>Por años yo é practicado levantar pesas^ a veces hasta el la escuela. En los ultimos dos años^ é llegado a un nivel national. Es un deporte tan especial que te pueda ayudar en muchos otros deportes. Por eso yo creo que esta escuela necesita en club de levantar pesas. Puede ayudar a los equipos que ya tenemos la escuela para que sean mas fuertes^ y tambien para traer mad titeles a la escuela para que lo conocen más. Nos juntarianos dos veces a la semana en la tarde^ para que los atletas pueden ir a sus practicas de deportes tamien. Levantando pesas tabien es muy bueno para el salud mental. Tendria un efecto muy bueno en todos los que lo hacen</p><p> Gracias por tu tiempo^</p><p>Gracie Harding</p><p>¡Espero que te ayuda!</p>",B2,3747546,28,C4790838,"Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ",A,1,I4,A-SE,3389,,,,Traditional classroom,Heritage Language
CLUBS,"<p>Buenos días Director.<br></p><p>De la manera más atenta me dirijo a usted^ esperando que se encuentre en las mejores condiciones^ para comunicarle mi intención de abir un club de soccer en la escuela. Varios de mis compañeros y su servidor somos aficionados al soccer y nos gustaría poder formar un club para así compartir con la comunidad estudiantil el deporte y a su vez^ nosotros sentirnos parte de un grupo en donde tenemos el soccer como interés en común y principal.</p><p>Desde mi pespectiva considero que el club podría beneficiar directamente a sus miembros al darles un sentido de pertenencia fortalenciendo su individualidad a través de un colectivo sano y completamente armónico que favorece la convivencia entre sus miemebros. En otro sentido^ el club también puede beneficiar a personas ajenas a este puesto que podría generar un interés por el soccer y así involucrar a más y más personas para que practiquen y sean fans del deporte. Entre las actividades que prodíamos tener estarían tener partidos de exhibición^ organizar un equipo competitivo y articipar en competencias^ reunirnos para conocer a fondo táctica e históricamente el deporte.</p><p>Sin más que decir^ me gustaría que valorara la psibilidad de abrir el club pues mis compañeros y yo estamos muy interesados.</p><p>Gracias por su tiempo</p><p>David Jasso</p><p><br></p>",B2,3747554,42,K4790846,"Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ",A,1,I5,A-SE,3389,,,,Traditional classroom,Heritage Language
CLUBS,"<p>Querido principal^</p><p>Los estudiantes de nuestra escuela quieren formar un clubo de música. Esto clubo tendría estudiantes quienes jugar instrumentos^ y nosotros jugaríamos en conciertos para la escuela. Queremos formar esto clubo porque tendríamos divertido y aprenderíamos como jugar instrumentos en una banda.</p><p>Esto clubo haría un impacto positivo en la escuela porque los estudiantes disfrutarían los conciertos y tomarían una interesa en música.</p><p>Gracias para su consideración^</p><p>Bryan Stevens</p>",B2,3747574,43,B4790866,"Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.  Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:   	 	Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why. 	 	 	Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students. 	  ",A,1,I4,A-SE,3389,,,,Traditional classroom,Heritage Language
COMMUNICATIONS,"<p>Los aldultos y los adolescentes tienen diferentes medios de comunicación. Cuando los adultos prefieren comunicar por telefono o cara a cara^ los adolescentes textean mucho para su primaria forma de comunicación. Porque texteando es más difícil de hablando^ hay frases como |lol| que son más fácil escribir^ en vez de usando palabras completas.</p><p>A veces esto puede causar confusión si un adolescente trata de comunicar con un adulto en esta manera^ porque el adulto ocasionalmente no comprenderá. Esto ha pasado a mi con mis padres^ resultando con teniendo usar palabras completas.</p>",B2,3747574,43,B4790866,"In your Spanish&nbsp;class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp; In two well-developed and organized paragraphs^ write an essay in which you:   	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp;Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens. 	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.  ",A,1,I4,A-SE,3389,,,,Traditional classroom,Heritage Language
COMMUNICATIONS,"<p>La comunicación ha cambiado radicalmente en la sociedad gracias a la tecnología y las nuevas costumbres y esto se puede observar a través del cambio generacional entre jóvenes y adultos y la manera en que se comunican. Los jóvenes en la actualidad aprovechan todos los medios de comunicación a su alcance (celulares^ tabletas^ laptops^ redes sociales y convivencia interpersonal) ya que estos han estado presentes en su desarrollo personal y en su vida cotidiana y son primordiales en esto. la capacidad que otorgan las redes sociales para comunicarte con otras personas de manera más rápida genera que la comunicación entre los jóvenes sea más informal e incluso esta puede atiende a modas lingüísticas. Por su parte^ los adultos tiene una interacción social más rudimentaria y los medios de comunicación físicos son más comunes por lo que el lenguaje formal es más cotidiano además de que los ambientes laborales en los que se desenvuelven favorecen a ello.<br><br></p><p>Para ejemplificar las diferencias se puede apuntar hacia cómo antes no se poseía la tecnología actual y las redes sociales no existían por lo que la comunicación era directa y formal entre las dos partes y esto general que los adultos estén acostumbrados a esta formar de interacturar. La falta de recursos tecnológicos de la época formó una forma de comunicación muy diferente a la que hay actualmente y pero esta tiene más cosas en común con la generación anterior que con la actual y es la razón por la que las diferencias generacionales son más marcadas actualmente y a veces nos puede sorprender cuando es un proceso resultante de el desarrollo social de los tiempos</p>",B2,3747554,42,K4790846,"In your Spanish&nbsp;class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp; In two well-developed and organized paragraphs^ write an essay in which you:   	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp;Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens. 	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.  ",A,1,I5,A-MM,3389,,,,Traditional classroom,Heritage Language
COMMUNICATIONS,"<p>Los adultos y idolicentes normalmente solo se hablan. Si es en la escuela^ o algo profecional^ tal vez se hablan por email. Creo que es mejor cuando solo se hablan de cara a cara^ porque se pueden expresar mas y puedes ver y entender sus emociones. </p><p>Yo creo que esto normalmente tiene los mejores resultados. No hay situaciones donde pensaban que que les quierias ofender ( o no tantas )</p>",B2,3747546,28,C4790838,"In your Spanish&nbsp;class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp; In two well-developed and organized paragraphs^ write an essay in which you:   	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp;Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens. 	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.  ",A,1,I4,A-SE,3389,,,,Traditional classroom,Heritage Language
