,Topic,Response,TestVersion,TestId,TotalTime,UserName,Prompt,PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,DateOfExam,MachineScore
3,CLUBS,<p>Hola senor^ me llamo Mateo^ yo escribiando a te decir tu que quiero empezar un club de espanol en este escuela. Quiero empezar este club porque todas las personas en este escuela los gusta espanol y quieren aprender mas de la idioma. En el club^ estudiantes aprenderán hablar espanol mas bien y tenerán opportunidades viajar a Espana. En este club estudiantes trabjarán ir bien con la idoma^ las personas^ y la geographia de el pais de Espana. Este club ayudará la escuela^ porque los estuidiante aprenderán ir mas intelligente. Tambíen estudientes trabajarán con la communidad en muchas trabajos. Recomiendo que tu trabajes con las personas que quieren empezar este club. Este club hacerá este escuela mas bien!</p>,B2,3739959,31,Y4773830,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:		Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why.			Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students.	,A,1,I4,A-SE,3534,,,,2021-06-29,2-A-SE
4,CLUBS,<p>Estimada/o cualquier se importa^</p><p>Para empezar^ yo quieran empezar un club en nuestra escuela. Es un club de deportes. Yo piensa que es muy importante para los estudiantes tener un lugar para hacer amigos con personas que tiene la mismo interez. Yo quiere crear esto club porque yo tiene interez en las deportes tambien. Adentro de la club voy a hacen actividades fisicas y actividades para aprender. Por ejemplo^ pueden hacen actividades como Futbol Americano^ y escriben papels de nuestro jugador favorito. </p><p>A continuacion^ este club voy a ayudar los estudiantes mucho. Por ejemplo^ este club es motavacion para hacer actividades fisicas. Haciendo actividades fisicas es muy importande de la salud para los ninos. Tambien es un lugar donde pueden hacer mas amigo. </p><p>Atentamente^</p><p>Sophie Marks</p>,B2,3289258,57,E4274536,Your friend in Spain wrote an email asking for your help on how to start a club at school. She wants to write a letter to the principal and asked you for ideas about what to write.Write a sample letter for your penpal to a school principal about starting a club. Use an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:		Explain to the principal that students want to start a club. Describe in detail what kind of club they want to start and why.			Describe how this club will make a positive impact on the school. Provide lots of information and details explaining what kinds of activities and projects the members of the club will do and how they will positively affect the school and students.	,A,1,I1,A-NE,473,143.0,4587.0,,2021-06-29,1-A-M+
7,COMMUNICATIONS,<p>Para empezar^ todos los personas en la mundo comunicar en un forma o otro. Pero^ hay muchas diferentes formas de comunicar. Por ejemlpo^ los aldultos y los ninos comunicar en formas muy diferente. Los aldutos normalmente comunicar con las personas cuando ver la persona como en la calle o un tienda. Los ninos en la otro lado^ comunicar la mayoria de la tiempo usando tecnologia. Eso diferencia en comunicar causar las ideas de los ninos ser mas popular porque cuando tiene un idea pone en la redes sociales y ahora mucahs personas saben de esta idean. Pero con aldutos toman mas tiempo para muchas personas saber de un idea porque no usan los redes sociales mucha. La lenguage de los ninos son diferente de los aldutos porque usan palabras cortas para un palabra. Por ejemplo^ si quiere dicir |Yo no sabe| puede dicir algo como YNS. Esto cambia en lenguage es causado de la tecnologia. Por ejemplo^ una vez yo usar una de estos palabra cuando estan hablando con mi madre y ella no entendio. </p><p><br></p>,B2,3289258,57,E4274536,In your Spanish&nbsp:class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp: In two well-developed and organized paragraphs^ write an essay in which you:	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp:Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens.	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.,A,1,I1,A-NE,473,143.0,4587.0,,2021-06-29,1-A-M+
8,COMMUNICATIONS,<p>Personas viejos y jovenes usan communication muy diferente. Personas jovenes usan electronicos^ ellos hablan con su telefonos^ y usan computadores. Sin embargo^ personas viejos usan papeles y boligraphos. Este diferencia de communication hace esta dificil para los grupos hablar con todas las personas. Tambien^ communication diferente es dificil aprender^ entonces personas jovenes no usan papeles y bioligraphos^ y personas viejas no usan telefonos y computadores. Personas jovenes no quieren aprender cosas viejas^ y personas viejas no quieren aprender cosas jovenes porque es dificil. Espero que los diferencials pueden ir mas poco en el futuro.</p><p>Esos diferencias son unforunatada^ sin embargo no son importante. Todas las personas puedan hablar con otra personas^ porque hay muchas formas de communication differente de las formas en papel o electronico. Soy un hombre joven^ y hablo con mis abuelos. No es importante que mis abuelos usan papel y yo uso electronicos. Nosotros podemos hablar a personas cuando queremos^ la forma no es importante. Un vez escirbé una carta a mi abuela^ no me gusta usar papel^ pero yo usé papel para mi abula. Sin embargo^ mi abuela usa electronicos para mi. Un vez^ ella usó su telefono hablar a mi. Finalmente^ neccesito decir que todas las personas hablarán con personas joven y viejo^ y usarán formas de communication diferente hablar con ellos. Los diferencias no son imporante.<br></p>,B2,3739959,31,Y4773830,In your Spanish&nbsp:class^ you have been discussing communication. Your teacher assigned you to write a brief essay comparing and contrasting the differences in the way teens and adults communicate.&nbsp: In two well-developed and organized paragraphs^ write an essay in which you:	Describe the key differences in how adults and teens communicate where you live. What means of communication do they typically use?&nbsp:Explain how these ways of communicating can affect the language and ideas expressed by the adults and teens.	Provide an example from the past that highlights the differences in communication that you identified. Describe in as much detail as you can what happened and what was the result of this communication.,A,1,I4,A-SE,3534,,,,2021-06-29,2-A-SE
13,FAMOUS PERSON,<p>Hola Natalie^ me llamo Matthew. Sabo de tu porque fuiste Padme en la pelicula Star Wars. Pienso que eres interensante porque de las idiomas que hablas. Sabo que hablas espanol^ hablo espanol tambien. Quiero tu visitar mi escuela y habla a las estudiens quien estan aprendiendo espanol. Tu ayudas ensenare los entudiantes mas espanol. Los estudiantes de mi escuela los gusta te porque ellos miraron Star Wars. Sabo que cuando los estudiantes eschucan te hablar espanol^ tu^ una actriz muy famoso^ entonces quereren aprender espanol.</p><p><br></p><p>Caundo visitas^ habla con los estudiantes en espanol y hace actividades espanol con ellos. Cuando estas hablando con los estudiantes^ ellos entenderen espanol mas bien. Que es bien porque quereremos los estudiantes aprender el idioma. Tambien es ayudare la escuela^ y estudiantes nuovos de la escuela quereren ir estudiantes de espanol. Durante el fin de tu viaje^ ayuda los estudiante con algo palabras que ellos no enteinden. Puedes vistar mi escuela^ gracias!</p>,B2,3739959,31,Y4773830,Your Spanish teacher has given you an assignment. You must write a letter to a famous Spanish-speaking person that you find interesting and invite them to speak at your school.Think of a famous Spanish-speaking person that you find interesting. Write a letter to them using&nbsp:an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:	Explain why you are inviting this person to come to your school to present to the students and teachers.	Describe what the person will do when they visit your town and school. Describe with lots of detail^ from beginning to end^ what the person will do during their visit.,A,1,I4,A-NE,3534,,,,2021-06-29,1-A-M+
17,FAMOUS PERSON,<p>Estimada Frita Carlo^</p><p>Quiere venir a nuestra escuela? Ahora en la escuela estan haciendo los estudios de arte. Tambien es un escuela de muchas lenguages. Entonces^ yo piensa que tu es un persona perfecto para hablar con mi clase. Para la presentacion yo piensa que pueden empezar con hablando de la cultura de los paises hispanohablante y luego hacen un clase rapido de arte! Solo en una noche y nuestro escuela tiene un hotel para ti. La hotel tambien ofern la desayuno y cena. Puedo tener la almuerzo en la escuela. Nuestra escuela tambien puede pagar la dinero para venir a nuestra pais. </p><p>Atentamente^</p><p>Sophie Marks</p>,B2,3289258,57,E4274536,Your Spanish teacher has given you an assignment. You must write a letter to a famous Spanish-speaking person that you find interesting and invite them to speak at your school.Think of a famous Spanish-speaking person that you find interesting. Write a letter to them using&nbsp:an appropriate greeting and closing to your letter. In two well-developed^ organized paragraphs^ be sure to address the following:	Explain why you are inviting this person to come to your school to present to the students and teachers.	Describe what the person will do when they visit your town and school. Describe with lots of detail^ from beginning to end^ what the person will do during their visit.,A,1,I1,A-NE,473,143.0,4587.0,,2021-06-29,2-A-SE
47,EDUCATION,<p>Querido Julio^ </p><p>Voy a hablar sobre los opciones de educación en mi comunidad. Primera^ puedes asistir escuela pública. Yo asisto escuela pública que se llama |Simsbury High School|. Me gusta este escuela mucho. Pienso que la escuela me da una educación increíble y creo que la educación es mejor de muchas escuelas en el estato. También^ este escuela es libre para todo en la comunidad. Hay algunos negativos^ pero no hay mucho. Un negativo es que hay más personas en cada clase y no hay una experiencia tan intima con los profesores. Otra opción para la educación en mi comunidad es escuela privada. En Simsbury^ tenemos |Westminster| que es una escuela privada y es muy increíble también. Westminster tiene una educación más intima con sus estudiantes y tiene un campus muy bonito. Sin embargo^ este escuela es muy caro y la educación es similar a educación pública. </p><p>Después de la escuela secundaria^ muchas niños asistan universidad. Muchas personas creen que universidad es la mejor manera para obtener un trabajo bueno en el futuro. También^ algunas personas no van a la universidad y consiguen un trabajo después de la escuela secundaria. Otras personas entran el militar o asisten escuela por trabajos con labor fisica. ¡No hay un camino correcto^ podemos hacer lo que queremos! </p><p>Sara</p>,B2,3735669,65,F4767505,The students in your partner school in Madrid want to learn more about students and education in your community.In two well-developed^ organized paragraphs^ write an email in which you address the following:	Describe the different types of schools and education options that are available in your community. Explain the pros and the cons of the different schooling options where you live.	Explain what students typically will do after they finish high school. Describe in detail the different paths students^ or someone you know^ will take after they graduate. Include as much information as possible.,A,1,A,A-MM,4294,,,,2021-06-29,2-A-SE
48,EDUCATION,<p>En mi communidad hay dos tipos de escuelas. Hay escuelas publicas y escuelas privadas^ y hay algunos ejemplos de los dos en mi pueblo. Las escuelas publicas tienen mas estudiantes de las escuelas privadas y hay cinco escuelas primarias^ una escuela intermedia^ y una escuela secundaria en mi pueblo. Hay tres escuelas privadas en mi pueblo también^ y estudiantes de muchos pueblos diferentes asisten a estos escuelas. En las escuelas publicas^ hay más oportunidades de clubs y deportes porque hay mas profesores y estudiantes para participar. También^ las escuelas publicas no son expensivos y exclusivos. Pero hay menos atención a cada estudiante porque hay clases grandes y mas estudiantes. En las escuelas privadas^ hay muchos edificios y son muy bonitos. También los estudiantes reciben mas atención y es bueno para estudiantes que necesitan ayuda. Pero las escuelas privadas son muy expensivos y por eso no hay mucha diversidad. </p><p>Despues de escuela secundaria^ muchas estudiantes van a la universidad. Algunas estudiantes van a una universidad para deportes y reciben dinero para asistir su universidad. También^ muchas personas pagan mucho para asistir a una universidad. Algunas estudiantes no asisten a una universidad porque no tiene el dinero o tiene otros planes. Algunas estudiantes encontran trabajo o se mudan a un lugar diferente. Unos estudiantes van a militar para trabajar o luchar. Finalmente hay estudiantes que deciden viajar el mundo. Hay muchas opciónes para los estudiantes y hay consejeros para ayudar.</p>,B2,3735673,47,M4767509,The students in your partner school in Madrid want to learn more about students and education in your community.In two well-developed^ organized paragraphs^ write an email in which you address the following:	Describe the different types of schools and education options that are available in your community. Explain the pros and the cons of the different schooling options where you live.	Explain what students typically will do after they finish high school. Describe in detail the different paths students^ or someone you know^ will take after they graduate. Include as much information as possible.,A,1,A,A-MF,4196,,,,2021-06-29,1-A-M+
49,EDUCATION,<p>Hay muchos tipos de escuelas y educaciones en my pueblo. Por ejemplo y esquelas no publicas por personas muy bueno a deportes o estudiantes que no viva en la puebla. Aditionalmente hay una esquela para la publico que es sufficente para todos tipos de estudiantes y este esquela tiene muchos classes para prepararse estudiantes para trabajos en el futuro. Una malo facto de esquelas no publicas es mas pequeno y puede tiene menos classes del publico esquela y necesita pagar mucho dinero para attendar cuando esquela de publica es gratis. Pero en la publica esquela^ hay menos dinero en la structura de la esquela y los edificios es mas feos de otros.</p><p>Despues de esquela^ la mayoria de los estudiantes va a universidad. Este estudiantes tratar a admitan a todos esquelas a su pais o esquelas en su region. Este esquela es mas imprtante para continuar su educaccion y tener una trabajo.</p>,B2,3735713,32,F4767549,The students in your partner school in Madrid want to learn more about students and education in your community.In two well-developed^ organized paragraphs^ write an email in which you address the following:	Describe the different types of schools and education options that are available in your community. Explain the pros and the cons of the different schooling options where you live.	Explain what students typically will do after they finish high school. Describe in detail the different paths students^ or someone you know^ will take after they graduate. Include as much information as possible.,A,1,I4,A-SE,4294,,,,2021-06-29,2-A-SE
50,EDUCATION,<p>Hola^<br></p><p>Hay muchas opciones para la educación en nuestra comunidad. El pueblo de Simsbury tiene siete escuelas públicos^ cinco de los cuales son escuelas primarias. Algunas cosas buenas sobre las escuelas de Simsbury es los grupos y actividades depués de la escuela. Por ejemplo^ en la escuela secundaria^ hay muchas deportes. También hay muchos oportunidades de voluntario y organizaciones creadas por los estudiantes. |Simsbury High School| anima a los estudiantes explorar nuevas ideas y diversificar. </p><p>Después de terminar la escuela secundaria^ muchos de los estudiantes ir a una universidad. Algunas de mis amigos que terminaron la escuela secundaria^ incluyendo a mi hermano^ estudian negocios en la universidad. Pero^ algunas personas no ir a una otra escuela despues de la escuela secundaria. Por ejemplo^ mi padre no fue a la universidad. En lugar de eso^ mi padre creó sus propios negocios y se convirtió a un empresario. </p>,B2,3735721,50,F4767557,The students in your partner school in Madrid want to learn more about students and education in your community.In two well-developed^ organized paragraphs^ write an email in which you address the following:	Describe the different types of schools and education options that are available in your community. Explain the pros and the cons of the different schooling options where you live.	Explain what students typically will do after they finish high school. Describe in detail the different paths students^ or someone you know^ will take after they graduate. Include as much information as possible.,A,1,I5,A-SE,4294,,,,2021-06-29,2-A-SE
51,EDUCATION,<p>En mi communidad hay diferente opciones de escuela. Puede aprender desde su casa o en una escuela. Cuando aprender en su casa es comodo y esta un ambiente que es  tranquilo y facil a aprender. Pero pierde la experiencia de escuela^ deportes^ hacer amigos^ prom y otras actividades que la escuela da a los estudiantes. Tambien el hijo perdería algunas habilidades por ejemplo communicacion o la habilidad a trabajar con otras personas. No puede preguntar un amigo cuando no saber el sujeto. Cuando aprender desde en un casa^ es muy dificil tener motivacion. En un escuela^  hay muchas recursos que puede usar. Tambien hay muchas diferentes profesoras que pueden ayudar el estudiante. Puede hacer amigos^ juntar un deporte o un grupo de interes. Pero no es bueno todos el tiempo. Algunos veces^ hay profesores que no es bueno o estudiantes que no le gustan. Tambien escuela es una larga competitacion contra los otras estudiantes. Puede recibir muchas estres porque su grados^ amigos^ clase^ examenes o problemas sociales. </p><p>Despues de escuela^ algunas personas hacen diferente cosas. Algunas toman un |gap year^| por diferente razones^ por ejemplo no tiene dinero por universidad o no estan seguro de que quiere hacer. Algunas personas van a la universidad para obtener un degree y aprender mas para obtener un trabajo en el futuro. Otras personas no van a la universidad y hacer diferente cosas por ejemplo ayudar su familia^ trabajar y etc. Algunas juntan el ejercito porque su familia estó un parte del ejercito o quieren proteger su pais. Yo tengo una amiga que juntaría el ejercito el proximo ano para obtener universidad por 0 cuestos. Hay muchas diferentes cosas que afectuan que el estudiante hace despues de escuela y hay muchas diferentes senderos que los estudiantes hacen despues de escuela.</p>,B2,3735729,63,W4767565,The students in your partner school in Madrid want to learn more about students and education in your community.In two well-developed^ organized paragraphs^ write an email in which you address the following:	Describe the different types of schools and education options that are available in your community. Explain the pros and the cons of the different schooling options where you live.	Explain what students typically will do after they finish high school. Describe in detail the different paths students^ or someone you know^ will take after they graduate. Include as much information as possible.,A,1,I4,A-SE,249,,,,2021-06-29,1-A-M+
52,EDUCATION,<p>Hola estudiantes de pareja de mi escuela! En mi communidad despues de la escuela primaria^ escuela media^ escuela secundaria^ y la universidad. En la escuala primaria y la escual meida^ estudiantes aprenden los basicos por ejemplos: sobre como dividir^ multiplicar^ menos^ mas^ escribir y historia. Durante estos anos^ es muy facil en contra a la escuela secundaria y la universidad. En la escuela secundaria^ hay mucho competicion entre los estudiantes. En la escuela secundaria^ hay un equipo de un variedad de deportes y los estudiantes pueden competir para ser aparte de un equipo. Hay dos tipos de la escuela secundaria: publico o privada. En un publico escuela^ hay muchas personas y un variedad de profes^ en contra^ en una escuela privada no hay muchas estudiantes porque necesita pagar dinero para entrar la escuela^ tambien^ tipicamente la educacion es mejor porque hay mejor profes y menos estudiantes por eso los profes pueden ayudar los estudiantes mejor y 1 v 1. </p><p>Despues de la escuela secundaria^ tipicamente^ el mejor porcentaje de los estudiantes fueron a las universidades. Hay un variedad de universidades. Dependiendo de lo bien que un estudiante escrbió su ensaya de la universidad o lo hizo en la escuela^ la as unviersidades dan un cierta cantidad de dinero. Esta es la razon porque los estudiantes tienen que trabajan duros en la escuela secundaria. Los estudiantes pueden ir a los variedades de las universidades^ como Yale^ La Universidad de Boston^ La Universidad de Illinois^ y mas. Otros estudiantes podrÍan fueron directamente a los trabajos porque no tienen dinero y necesitan ayudar su familia. Hay universidades como Yale que es una universidad privada. Las universidades privadas son muy buenos pero muy dificiles de entrar. Hay universidades de communidad que son libre de ir a^ no es necesario pagar dinero para ir. <br></p>,B2,3735733,66,Q4767569,The students in your partner school in Madrid want to learn more about students and education in your community.In two well-developed^ organized paragraphs^ write an email in which you address the following:	Describe the different types of schools and education options that are available in your community. Explain the pros and the cons of the different schooling options where you live.	Explain what students typically will do after they finish high school. Describe in detail the different paths students^ or someone you know^ will take after they graduate. Include as much information as possible.,A,1,I5,A-MM,3389,,,,2021-06-29,1-A-M+
